식당명,지역명,네이버평점
호랑이식탁,성동구,4.7
화덕생선구이,성동구,4.7
지은식당,성동구,4.7
마포잡부구이,성동구,4.7
복닭,성동구,4.7
벨기에빵집,성동구,4.7
무로정,성동구,4.7
하피,성동구,4.7
카페스윗,성동구,4.7
릴레이션,성동구,4.7
순심이네생삼겹,성동구,4.69
나루식당,성동구,4.69
별미식당,성동구,4.69
곱창에이슬이,성동구,4.69
치킨마루,성동구,4.69
블랑제리새벽,성동구,4.69
소목,성동구,4.69
카페페를,성동구,4.69
조리,성동구,4.69
맛있는돈까스,성동구,4.69
윤이불닭발,성동구,4.69
프린세스,성동구,4.69
바른덮밥,성동구,4.69
김밥킹,성동구,4.68
행닭바베큐통닭,성동구,4.68
이도카페,성동구,4.68
오남매곱창,성동구,4.68
마블트리,성동구,4.68
플레이스 308,성동구,4.68
브루잉 세레모니,성동구,4.68
고기를품다,성동구,4.68
단일서울,성동구,4.68
이땔리면옥,성동구,4.68
새벽대게,성동구,4.68
별콩다방,성동구,4.68
바이란,성동구,4.68
이도카페,성동구,4.68
왕호프치킨,성동구,4.67
고향식당,성동구,4.67
피자엉클,성동구,4.67
오가네숯불곰장어,성동구,4.67
부성식당,성동구,4.67
선희네밥상,성동구,4.67
깜장드럼통,성동구,4.67
술래잡기,성동구,4.67
장충한방왕족발보쌈,성동구,4.67
맛자차,성동구,4.67
맨스필드커피,성동구,4.67
키베이커리,성동구,4.67
후카엠,성동구,4.67
먹을만회,성동구,4.67
오스테리아 파로,성동구,4.67
불백하우스 도시락앤불고기,성동구,4.67
해피캔디쿠키,성동구,4.67
더파킹랏,성동구,4.67
퍼니주,성동구,4.67
피자플래넷,성동구,4.67
좋은맛,성동구,4.67
벱,성동구,4.67
키베이커리,성동구,4.67
촬댄양꼬치,성동구,4.66
돼지한마당,성동구,4.66
남다른본가 닭한마리,성동구,4.66
이조순대국,성동구,4.66
바오밥 커피 로스터스,성동구,4.66
코페아커피,성동구,4.66
카니보,성동구,4.66
리브릭,성동구,4.66
퍼피커피,성동구,4.66
제일양대창,성동구,4.66
목금,성동구,4.66
팀메리,성동구,4.66
본죽,성동구,4.66
곳온니플레이스 성수낙낙점,성동구,4.66
사위식당,성동구,4.66
카니보,성동구,4.66
왕십리연탄집,성동구,4.65
326 숯불구이,성동구,4.65
시장설렁탕,성동구,4.65
이스파이,성동구,4.65
Mr박의돈워리,성동구,4.65
더카페,성동구,4.65
스시로지,성동구,4.65
씨롱카페,성동구,4.65
색다른면,성동구,4.65
토모,성동구,4.65
로우키,성동구,4.65
마이 314,성동구,4.65
퍼 주에,성동구,4.65
대곡동낙곱새,성동구,4.65
카모플라쥬 커피,성동구,4.65
55주막,성동구,4.65
퀴바라,성동구,4.65
옹글 샌드위치카페,성동구,4.65
멘야신,성동구,4.65
세광양대창,성동구,4.65
투썸플레이스,성동구,4.65
신월,성동구,4.65
권식족발,성동구,4.64
땡초꼼장어,성동구,4.64
동맛골보쌈칼국수,성동구,4.64
꼬치방호프,성동구,4.64
피자스쿨,성동구,4.64
바리스터코난&라나,성동구,4.64
파머스카페,성동구,4.64
카르페디엠,성동구,4.64
두께,성동구,4.64
삼미식당,성동구,4.64
더어썸,성동구,4.64
키키,성동구,4.64
소울보이,성동구,4.64
복식커피,성동구,4.64
양과자점 라보엠,성동구,4.64
언스태틱 플레이스,성동구,4.64
키라키라윤,성동구,4.64
스시702,성동구,4.64
다운타우너 성수피치스,성동구,4.64
후다닭큐,성동구,4.63
풍년식당,성동구,4.63
은좌식당,성동구,4.63
알맹치킨,성동구,4.63
도담삼겹살,성동구,4.63
소나무,성동구,4.63
푸른바다찜&탕,성동구,4.63
만리향양꼬치,성동구,4.63
음식공작소,성동구,4.63
척스탭하우스,성동구,4.63
선아커피,성동구,4.63
온더온,성동구,4.63
카페 꼬모,성동구,4.63
마장식당,성동구,4.63
은준쌀국수,성동구,4.63
피자파는집,성동구,4.63
시에나 에스테이트,성동구,4.63
광수육회,성동구,4.63
온센,성동구,4.63
브로미,성동구,4.63
오버도즈,성동구,4.63
핑크멜로우,성동구,4.63
애넥스 성수,성동구,4.63
더카페,성동구,4.63
소설가,성동구,4.63
리옹베이커리,성동구,4.63
을지로골뱅이,성동구,4.62
프롬왕십리,성동구,4.62
다복식당,성동구,4.62
젤라또투유,성동구,4.62
동네커피,성동구,4.62
에그마카슈,성동구,4.62
쿠나,성동구,4.62
커어피,성동구,4.62
돈갓 프리미엄카츠,성동구,4.62
호식이두마리치킨,성동구,4.62
라라자네리,성동구,4.62
오스테리아 쟌니,성동구,4.61
술이있는 맛있는밥집,성동구,4.61
일번지,성동구,4.61
두루식당,성동구,4.61
정성찬,성동구,4.61
생활맥주,성동구,4.61
르빵티65,성동구,4.61
문화식당,성동구,4.61
바코드커피,성동구,4.61
드아띠,성동구,4.61
33마카롱,성동구,4.61
더팔당,성동구,4.61
꾸브라꼬숯불 두마리치킨,성동구,4.61
토리아에즈,성동구,4.61
정동진,성동구,4.6
장안생고기,성동구,4.6
치킨주막,성동구,4.6
정궁,성동구,4.6
바스버거,성동구,4.6
리틀베트남퍼,성동구,4.6
가보자,성동구,4.6
다온,성동구,4.6
미네스키친,성동구,4.6
장안식당,성동구,4.6
밀땅,성동구,4.6
반가온,성동구,4.6
노가리상회,성동구,4.6
아이오쓰리,성동구,4.6
성수골목,성동구,4.6
커피림,성동구,4.6
차만다,성동구,4.6
소재,성동구,4.6
스몰글라스,성동구,4.6
수유리혼밥왕,성동구,4.6
대동집,성동구,4.6
일정,성동구,4.6
삼촌횟집,성동구,4.6
서오릉피자,성동구,4.6
떡세스,성동구,4.6
프레스나인,성동구,4.6
식당 사월에,성동구,4.6
커피집,성동구,4.6
오뚜기식당,성동구,4.59
테라스에서,성동구,4.59
사근동하이트호프,성동구,4.59
교촌치킨,성동구,4.59
형제갈비,성동구,4.59
해밀식당,성동구,4.59
행복한 곱창,성동구,4.59
형부카레,성동구,4.59
카나비스트릿,성동구,4.59
피자마루,성동구,4.59
앙골로에스프레소,성동구,4.59
어촌횟집,성동구,4.59
왕십리 양양꼬치,성동구,4.59
참치가좋은날,성동구,4.59
더냄비,성동구,4.59
히토리우동,성동구,4.59
예나,성동구,4.59
홍능족발1977,성동구,4.59
명칼국수,성동구,4.59
쿠마,성동구,4.59
다포케,성동구,4.59
비비비커피,성동구,4.59
구펠,성동구,4.59
즐거울락,성동구,4.59
릴즈,성동구,4.59
진작다이닝,성동구,4.59
멘야마쯔리,성동구,4.59
포지티브,성동구,4.59
연텐동,성동구,4.59
퓨엘커피,성동구,4.59
최네집부대찌개,성동구,4.59
스탠서울,성동구,4.59
오마뎅,성동구,4.59
땡초꼼장어,성동구,4.59
봉계닭강정,성동구,4.58
훈희네곱창,성동구,4.58
곱창나라,성동구,4.58
송가네 주먹고기,성동구,4.58
콰이,성동구,4.58
본앤브레드,성동구,4.58
성수동커피,성동구,4.58
와하카,성동구,4.58
카페오라,성동구,4.58
프랑스포차,성동구,4.58
뺑드에코,성동구,4.58
33떡볶이,성동구,4.58
두찜,성동구,4.58
밥통령 짜글이&김치찌개,성동구,4.58
두꺼비집,성동구,4.58
카페라니,성동구,4.58
보다미,성동구,4.58
칙피스,성동구,4.58
본도시락,성동구,4.58
오엔엘,성동구,4.58
비스트로성수,성동구,4.58
무브모브,성동구,4.58
라깜빠냐파스타,성동구,4.58
온더,성동구,4.58
응봉감성,성동구,4.58
카페 유전,성동구,4.58
그린한식뷔페,성동구,4.57
성수동양갈비,성동구,4.57
한솔식당,성동구,4.57
장어구이,성동구,4.57
구이마을,성동구,4.57
성원맛가,성동구,4.57
보쌈당한닭한마리,성동구,4.57
수구레,성동구,4.57
유어사이드,성동구,4.57
부부요리단,성동구,4.57
수숯불직화꼬치구이,성동구,4.57
서울의닭,성동구,4.57
성수동더블랙,성동구,4.57
카페라제스,성동구,4.57
오하이오옥수,성동구,4.57
광명대창집,성동구,4.57
포지티브제로 라운지,성동구,4.57
카페 블루밍,성동구,4.57
피자시즌,성동구,4.57
청년치킨,성동구,4.57
턴온,성동구,4.57
에르제,성동구,4.57
중화카츠,성동구,4.57
이키나리돈부리,성동구,4.57
무학봉57,성동구,4.57
알찬떡볶이,성동구,4.57
샵 힘이나는 커피생활,성동구,4.57
샐러디,성동구,4.57
옛날통닭,성동구,4.57
부부요리단1탄 제주흑돼지갑오징어,성동구,4.57
전주식당,성동구,4.56
처갓집양념치킨,성동구,4.56
야미가,성동구,4.56
왕십리한고기,성동구,4.56
가평식당,성동구,4.56
고공,성동구,4.56
이상진돈까스,성동구,4.56
황소미가,성동구,4.56
포레드뮤,성동구,4.56
별관집,성동구,4.56
계동치킨,성동구,4.56
눈꽃돼지,성동구,4.56
미카,성동구,4.56
모리티아,성동구,4.56
타이거풀,성동구,4.56
카페 27g,성동구,4.56
성수부두,성동구,4.56
금호 모소리,성동구,4.56
수상한막창,성동구,4.56
언니커피,성동구,4.56
돈가츠야,성동구,4.56
카페도르,성동구,4.56
왕코등갈비,성동구,4.56
커피사피엔스,성동구,4.56
아타리,성동구,4.56
타이로띠,성동구,4.56
영구스피자,성동구,4.55
무쇠막생고기,성동구,4.55
호남식당,성동구,4.55
