식당명,지역명,네이버평점
미식본좌,동대문구,4.75
피자타임스치킨,동대문구,4.75
현대식당,동대문구,4.75
재민식당,동대문구,4.75
옛날국밥,동대문구,4.75
거복이식당,동대문구,4.74
커피마마,동대문구,4.74
카페 브레송,동대문구,4.74
역시커피,동대문구,4.74
옛날통닭,동대문구,4.74
시장족발,동대문구,4.74
황가네소문난유황오리,동대문구,4.73
천하일미,동대문구,4.73
꼬다야,동대문구,4.73
무이리꼬냉면&돈까스,동대문구,4.73
남해회바다,동대문구,4.73
삼칠공,동대문구,4.73
유앤미,동대문구,4.73
리문스테이크,동대문구,4.73
조조상회,동대문구,4.72
대복칼국수,동대문구,4.72
솔밭족발보쌈,동대문구,4.72
카페멜로우,동대문구,4.72
직화푸드,동대문구,4.72
카페유어스,동대문구,4.72
씨위드커피,동대문구,4.72
베트남 테이블,동대문구,4.72
순자카페,동대문구,4.72
동네요릿집 완미,동대문구,4.72
꼬뮨,동대문구,4.72
다곰디저트,동대문구,4.72
나폴리식당,동대문구,4.71
생도야지세상,동대문구,4.71
고모집,동대문구,4.71
영주집,동대문구,4.71
인생소곱창,동대문구,4.71
아임파이,동대문구,4.71
꽃갈피,동대문구,4.71
시골집식당,동대문구,4.71
카페5번출구,동대문구,4.71
홍루이젠,동대문구,4.71
간식창고,동대문구,4.71
판다마라,동대문구,4.71
자작나무키친,동대문구,4.71
여기야춘천닭갈비,동대문구,4.71
이문동불탄곱창,동대문구,4.71
물로,동대문구,4.71
한강호프,동대문구,4.7
끄망,동대문구,4.7
전주백반집,동대문구,4.7
간데메소주집,동대문구,4.7
옹골진치킨,동대문구,4.7
최고을,동대문구,4.7
한마당치킨호프,동대문구,4.7
꼬기한판,동대문구,4.7
컴플리트커피,동대문구,4.7
아지매식당,동대문구,4.7
남원통닭 별관,동대문구,4.7
녹원,동대문구,4.7
연어골,동대문구,4.7
멜로우,동대문구,4.7
승키친,동대문구,4.7
처음처럼,동대문구,4.7
오아시스,동대문구,4.69
서울우담냉채족발,동대문구,4.69
오뚜기식당,동대문구,4.69
감자탕과빈대떡고을,동대문구,4.69
치킨매니아,동대문구,4.69
도마,동대문구,4.69
내린천,동대문구,4.69
화야,동대문구,4.69
밥도둑 짜글짜글이,동대문구,4.69
에잇올리,동대문구,4.69
샌드로드,동대문구,4.69
미바드래프트,동대문구,4.69
열두달 케이크,동대문구,4.69
위메이드잇,동대문구,4.69
카페 레브,동대문구,4.69
커피하우스,동대문구,4.69
24시회마트,동대문구,4.68
하하분식,동대문구,4.68
카페티움,동대문구,4.68
둥구리투,동대문구,4.68
휴식상점,동대문구,4.68
새벽두시,동대문구,4.68
공차,동대문구,4.68
봉자당진아구동태찜탕,동대문구,4.68
피맥하우스,동대문구,4.68
한우리한우생고기전문점,동대문구,4.67
강촌칼국수,동대문구,4.67
락앤밤,동대문구,4.67
스마일식당,동대문구,4.67
콩닭,동대문구,4.67
개인의 취향,동대문구,4.67
카페비,동대문구,4.67
본참치,동대문구,4.67
전주외할머니댁,동대문구,4.67
아마자께,동대문구,4.67
송큰할매순대국,동대문구,4.67
커피메소드,동대문구,4.67
천주식당,동대문구,4.67
아지돈부리,동대문구,4.67
시키카츠,동대문구,4.67
미원떡볶이,동대문구,4.67
신설동 부산양곱창,동대문구,4.67
떡볶이은행,동대문구,4.67
플로랄,동대문구,4.67
카페 드넬,동대문구,4.67
헬로펠라스,동대문구,4.67
우차이,동대문구,4.67
참말로좋수닭273,동대문구,4.67
족발공간,동대문구,4.67
릴리엔,동대문구,4.67
어산,동대문구,4.67
큰손참치,동대문구,4.67
멸치국수전문점,동대문구,4.67
카페 드넬,동대문구,4.67
아워웨이브,동대문구,4.67
다손김밥,동대문구,4.66
일품돈까스,동대문구,4.66
더블유커피,동대문구,4.66
하마쌀국수,동대문구,4.66
더로스팅,동대문구,4.66
카페김랩,동대문구,4.66
카페 데미안,동대문구,4.66
고기나라 돼통령,동대문구,4.66
알촌,동대문구,4.66
더크림디저트쇼룸,동대문구,4.66
몬스터포,동대문구,4.66
실크로드,동대문구,4.65
황우곱창,동대문구,4.65
성운각,동대문구,4.65
코너샵 카페,동대문구,4.65
양쉐프즉석떡볶이,동대문구,4.65
마포숯불등심갈매기살,동대문구,4.65
가가네산꼼장어,동대문구,4.65
오꼬네,동대문구,4.65
그냥밥집,동대문구,4.65
라무진,동대문구,4.65
만나네 마라탕,동대문구,4.65
단골집,동대문구,4.65
멜팅폼,동대문구,4.65
차포차,동대문구,4.65
일곱평,동대문구,4.65
오전오후,동대문구,4.65
달콤퐁당,동대문구,4.65
정담한식당,동대문구,4.65
우더스커피바,동대문구,4.65
경성족발,동대문구,4.65
제온베이커리,동대문구,4.65
스마일밀,동대문구,4.65
신설홍어회집,동대문구,4.64
이문닭발,동대문구,4.64
오딧세이,동대문구,4.64
인생극장,동대문구,4.64
선길,동대문구,4.64
도원,동대문구,4.64
호운래반점,동대문구,4.64
물고기,동대문구,4.64
블링블링밀크티,동대문구,4.64
골목길빵공작소,동대문구,4.64
헝그리브라더스,동대문구,4.64
톤톤,동대문구,4.64
카페슬로우봉봉,동대문구,4.64
수야세꼬시앤막회,동대문구,4.64
자담치킨,동대문구,4.64
하우드,동대문구,4.64
부어치킨,동대문구,4.63
마라톤집,동대문구,4.63
코코치킨,동대문구,4.63
꼬꼬댁,동대문구,4.63
치킨앤칩스,동대문구,4.63
청정생고기,동대문구,4.63
이삭토스트,동대문구,4.63
곱창마을,동대문구,4.63
일본식오뎅집,동대문구,4.63
코코니주방,동대문구,4.63
나포리 커피숍,동대문구,4.63
주영이네실내포차,동대문구,4.63
2카페,동대문구,4.63
경동포차,동대문구,4.63
스마일머그커피,동대문구,4.63
오관스시,동대문구,4.63
공감과 소통,동대문구,4.63
주연네연탄곱창,동대문구,4.63
경희회관,동대문구,4.63
골목족발,동대문구,4.63
밥이야기,동대문구,4.63
